gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
003144,01,000005,19320526,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,COCA-COLA CO,KO,191216100,0000021344,2086,312111
006066,01,000005,19320526,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,INTL BUSINESS MACHINES CORP,IBM,459200101,0000051143,7370,519130
008762,01,000005,19320526,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,PROCTER & GAMBLE CO,PG,742718109,0000080424,2840,325611
007435,01,000005,19760809,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,3M CO,MMM,88579Y101,0000066740,2670,322220
007257,01,000005,19790629,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,MERCK & CO,MRK,58933Y105,0000310158,2834,325412
001447,01,000005,19820830,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6141,522210
007154,01,000005,19851030,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,MCDONALD'S CORP,MCD,580135101,0000063908,5812,722513
002285,01,000005,19870312,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,BOEING CO,BA,097023105,0000012927,3721,336411
002817,01,000005,19910506,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,CATERPILLAR INC,CAT,149123101,0000018230,3531,333120
003980,01,000005,19910506,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,DISNEY (WALT) CO,DIS,254687106,0001744489,4888,515120
006266,01,000005,19970317,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,JOHNSON & JOHNSON,JNJ,478160104,0000200406,2834,325412
011259,01,000005,19970317,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,WALMART INC,WMT,931142103,0000104169,5331,452319
005680,01,000005,19991101,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,HOME DEPOT INC,HD,437076102,0000354950,5211,444110
006008,01,000005,19991101,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,INTEL CORP,INTC,458140100,0000050863,3674,334413
012141,01,000005,19991101,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,MICROSOFT CORP,MSFT,594918104,0000789019,7372,511210
002968,01,000005,20010102,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,JPMORGAN CHASE & CO,JPM,46625H100,0000019617,6020,522110
002136,01,000005,20040408,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,VERIZON COMMUNICATIONS INC,VZ,92343V104,0000732712,4812,517312
002991,01,000005,20080219,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,CHEVRON CORP,CVX,166764100,0000093410,2911,324110
020779,01,000005,20090608,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,CISCO SYSTEMS INC,CSCO,17275R102,0000858877,3576,334210
062689,05,000005,20090608,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,TRAVELERS COS INC,TRV,89417E109,0000086312,6331,524126
010903,01,000005,20120924,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,UNITEDHEALTH GROUP INC,UNH,91324P102,0000731766,6324,524114
007906,01,000005,20130923,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,NIKE INC  -CL B,NKE,654106103,0000320187,3021,316210
114628,01,000005,20130923,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,GOLDMAN SACHS GROUP INC,GS,38141G104,0000886982,6211,523110
179534,01,000005,20130923,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,VISA INC,V,92826C839,0001403161,6099,522320
001690,01,000005,20150319,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,APPLE INC,AAPL,037833100,0000320193,3663,334220
011264,01,000005,20180626,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,WALGREENS BOOTS ALLIANCE INC,WBA,931427108,0001618921,5912,446110
